"X_2024_Vote_Combined","duty_label","mean"
"Another cand.","Voting",94.3032115898511
"Another cand.","Following the Constitution",93.7034415551451
"Another cand.","Being patriotic",58.4745547961752
"Another cand.","Working hard",51.9005724483071
"Another cand.","Making your voice heard",48.789933723839
"Another cand.","Fighting for people’s rights",78.7138752184264
"Another cand.","Supporting your family",63.7787858273741
"Another cand.","Supporting democracy",80.586877210731
"Another cand.","Protesting unfairness",58.8881731134383
"Another cand.","Donating to charity",29.7530391404799
"Another cand.","Defending freedom",83.8313978214265
"Another cand.","Obeying the law",97.1092776938018
"Another cand.","Practicing freedom of speech",79.9059911894237
"Another cand.","Helping your community",79.2070288179196
"Another cand.","Joining the military",32.2505032704201
"Another cand.","Supporting equality",78.508027303098
"Another cand.","Loving America",56.3637840951997
"Another cand.","Making the most of your opportunities",47.6842385980219
"Another cand.","Connecting across differences",50.0502341810224
"Another cand.","Being grateful for your opportunities",63.0607002226624
"Another cand.","Honoring the flag",66.4832432277768
"Another cand.","Welcoming refugees",40.5559400005342
"Another cand.","Paying your taxes",90.2691506065502
"Another cand.","Being self-reliant",53.8222761452778
"Another cand.","Reporting for jury duty",85.0641786817383
"Another cand.","Staying informed of current events",58.3441522750193
"Another cand.","Doing community service",58.9545151846439
"Another cand.","Respecting people's differences",70.4966074541688
"Another cand.","Protecting the environment",69.863895087957
"Another cand.","Caring for future generations",65.6400613293404
"Did not vote","Voting",73.638406223208
"Did not vote","Following the Constitution",86.4787731488811
"Did not vote","Being patriotic",53.9486545630412
"Did not vote","Working hard",58.195784753234
"Did not vote","Making your voice heard",56.1477799334884
"Did not vote","Fighting for people’s rights",75.1429911633408
"Did not vote","Supporting your family",69.2735569522317
"Did not vote","Supporting democracy",62.733202782384
"Did not vote","Protesting unfairness",55.7540698495329
"Did not vote","Donating to charity",37.7351524378935
"Did not vote","Defending freedom",84.4392708928503
"Did not vote","Obeying the law",88.7743065442674
"Did not vote","Practicing freedom of speech",73.6801490559573
"Did not vote","Helping your community",69.9680067838192
"Did not vote","Joining the military",35.8223036194839
"Did not vote","Supporting equality",73.1401023633254
"Did not vote","Loving America",54.4929394761903
"Did not vote","Making the most of your opportunities",50.3838222752517
"Did not vote","Connecting across differences",56.6030816942319
"Did not vote","Being grateful for your opportunities",62.365336133547
"Did not vote","Honoring the flag",74.8089557596485
"Did not vote","Welcoming refugees",46.953562424725
"Did not vote","Paying your taxes",82.6828230432081
"Did not vote","Being self-reliant",54.1667215655046
"Did not vote","Reporting for jury duty",76.8392561964765
"Did not vote","Staying informed of current events",48.4270020233745
"Did not vote","Doing community service",53.1070354269831
"Did not vote","Respecting people's differences",70.7840890626645
"Did not vote","Protecting the environment",75.9999358546003
"Did not vote","Caring for future generations",70.7798499420273
"Harris","Voting",93.6858703320982
"Harris","Following the Constitution",94.1498520393385
"Harris","Being patriotic",50.7606752356214
"Harris","Working hard",46.6092550725514
"Harris","Making your voice heard",61.2782015936684
"Harris","Fighting for people’s rights",81.3507385053176
"Harris","Supporting your family",57.2076666837234
"Harris","Supporting democracy",86.8273317585845
"Harris","Protesting unfairness",65.9082937629923
"Harris","Donating to charity",35.9519877202808
"Harris","Defending freedom",87.6956901696792
"Harris","Obeying the law",93.4283342937184
"Harris","Practicing freedom of speech",82.0722539709989
"Harris","Helping your community",76.1095573753895
"Harris","Joining the military",37.4363173761298
"Harris","Supporting equality",82.7162582101796
"Harris","Loving America",47.1619763142431
"Harris","Making the most of your opportunities",41.7619726790249
"Harris","Connecting across differences",54.8318218461323
"Harris","Being grateful for your opportunities",51.3341800972924
"Harris","Honoring the flag",68.6661379014256
"Harris","Welcoming refugees",59.3530140218879
"Harris","Paying your taxes",91.9512872981611
"Harris","Being self-reliant",43.4909032512103
"Harris","Reporting for jury duty",90.2329746310162
"Harris","Staying informed of current events",55.1762167946412
"Harris","Doing community service",59.9991728150892
"Harris","Respecting people's differences",75.505811005267
"Harris","Protecting the environment",78.6768768048436
"Harris","Caring for future generations",74.1824254562391
"Trump","Voting",92.2114622609213
"Trump","Following the Constitution",92.3611944676235
"Trump","Being patriotic",74.1794155680633
"Trump","Working hard",59.4494133489498
"Trump","Making your voice heard",50.0594071027703
"Trump","Fighting for people’s rights",67.1823789730967
"Trump","Supporting your family",67.6134589378516
"Trump","Supporting democracy",79.9942933659411
"Trump","Protesting unfairness",44.2977967546738
"Trump","Donating to charity",34.4327316421169
"Trump","Defending freedom",89.035274464523
"Trump","Obeying the law",96.0090656644081
"Trump","Practicing freedom of speech",77.4294440554533
"Trump","Helping your community",72.3060373058137
"Trump","Joining the military",46.597398900833
"Trump","Supporting equality",63.3130255923695
"Trump","Loving America",70.7922209977341
"Trump","Making the most of your opportunities",48.0802313454212
"Trump","Connecting across differences",46.6077235739921
"Trump","Being grateful for your opportunities",70.268927603223
"Trump","Honoring the flag",88.5911700114198
"Trump","Welcoming refugees",31.3653950669376
"Trump","Paying your taxes",91.9583422423841
"Trump","Being self-reliant",58.0001207476829
"Trump","Reporting for jury duty",89.6558485982498
"Trump","Staying informed of current events",53.1514415933866
"Trump","Doing community service",55.6196901499258
"Trump","Respecting people's differences",66.878146293373
"Trump","Protecting the environment",65.2470753401305
"Trump","Caring for future generations",67.5934892183979
