"education","duty_label","mean"
"2-year college degree","Voting",85.903870608766
"2-year college degree","Following the Constitution",85.6133880629681
"2-year college degree","Being patriotic",61.8562408901905
"2-year college degree","Working hard",62.0510568437856
"2-year college degree","Making your voice heard",56.340781073468
"2-year college degree","Fighting for people’s rights",78.6082265222463
"2-year college degree","Supporting your family",68.8370270672513
"2-year college degree","Supporting democracy",74.2737449310213
"2-year college degree","Protesting unfairness",56.327795489834
"2-year college degree","Donating to charity",33.7582469161977
"2-year college degree","Defending freedom",87.4627486880372
"2-year college degree","Obeying the law",88.2896135802298
"2-year college degree","Practicing freedom of speech",77.5039747331915
"2-year college degree","Helping your community",78.24499906785
"2-year college degree","Joining the military",44.2746458298975
"2-year college degree","Supporting equality",73.0516890216486
"2-year college degree","Loving America",59.8763403301197
"2-year college degree","Making the most of your opportunities",48.4263179638621
"2-year college degree","Connecting across differences",51.4538950669574
"2-year college degree","Being grateful for your opportunities as an American",64.2206374797894
"2-year college degree","Honoring the flag",72.9933092294971
"2-year college degree","Welcoming refugees",40.3956209942259
"2-year college degree","Paying your taxes",91.7650477287466
"2-year college degree","Being self-reliant",51.1963246619754
"2-year college degree","Reporting for jury duty",86.0190462812724
"2-year college degree","Staying informed of current events",54.8457418572496
"2-year college degree","Doing community service",65.4316217638983
"2-year college degree","Respecting people's differences",71.3807882153347
"2-year college degree","Protecting the environment",72.812941364724
"2-year college degree","Caring for future generations",70.3982936655338
"4-year college degree","Voting",93.3811434450195
"4-year college degree","Following the Constitution",94.3021598186833
"4-year college degree","Being patriotic",59.3863389316546
"4-year college degree","Working hard",47.2419723547379
"4-year college degree","Making your voice heard",50.7781131559087
"4-year college degree","Fighting for people’s rights",71.4143040893522
"4-year college degree","Supporting your family",58.4868896595043
"4-year college degree","Supporting democracy",86.0643474880498
"4-year college degree","Protesting unfairness",53.5781584827928
"4-year college degree","Donating to charity",31.6578090594567
"4-year college degree","Defending freedom",87.3624956834906
"4-year college degree","Obeying the law",95.0710783409787
"4-year college degree","Practicing freedom of speech",78.2952838476412
"4-year college degree","Helping your community",71.3035003192248
"4-year college degree","Joining the military",37.7040935825743
"4-year college degree","Supporting equality",71.6325201322336
"4-year college degree","Loving America",55.6777668556797
"4-year college degree","Making the most of your opportunities",38.2640786830207
"4-year college degree","Connecting across differences",47.9532801320251
"4-year college degree","Being grateful for your opportunities as an American",54.9191249240374
"4-year college degree","Honoring the flag",75.6557386194971
"4-year college degree","Welcoming refugees",45.4226913588146
"4-year college degree","Paying your taxes",92.0555195337583
"4-year college degree","Being self-reliant",47.7265819860251
"4-year college degree","Reporting for jury duty",91.4074888786475
"4-year college degree","Staying informed of current events",51.2949600875191
"4-year college degree","Doing community service",53.6661919475855
"4-year college degree","Respecting people's differences",69.0117697346734
"4-year college degree","Protecting the environment",70.3985533302048
"4-year college degree","Caring for future generations",67.8457955777236
"Did not graduate from high school","Voting",77.8476791778631
"Did not graduate from high school","Following the Constitution",88.3419659837052
"Did not graduate from high school","Being patriotic",60.4672121237838
"Did not graduate from high school","Working hard",54.3117845832196
"Did not graduate from high school","Making your voice heard",62.2259635866006
"Did not graduate from high school","Fighting for people’s rights",79.5332074635131
"Did not graduate from high school","Supporting your family",73.3052175396534
"Did not graduate from high school","Supporting democracy",61.5511921415245
"Did not graduate from high school","Protesting unfairness",59.0649651230369
"Did not graduate from high school","Donating to charity",38.0589705573625
"Did not graduate from high school","Defending freedom",89.1059243783824
"Did not graduate from high school","Obeying the law",87.062055497775
"Did not graduate from high school","Practicing freedom of speech",74.2716893760616
"Did not graduate from high school","Helping your community",69.5680684139921
"Did not graduate from high school","Joining the military",43.0120395013343
"Did not graduate from high school","Supporting equality",68.2951262031185
"Did not graduate from high school","Loving America",61.9123133451589
"Did not graduate from high school","Making the most of your opportunities",53.9051404146978
"Did not graduate from high school","Connecting across differences",59.0403252677656
"Did not graduate from high school","Being grateful for your opportunities as an American",72.715904786008
"Did not graduate from high school","Honoring the flag",78.9404373334598
"Did not graduate from high school","Welcoming refugees",47.0980766959532
"Did not graduate from high school","Paying your taxes",80.8812476163774
"Did not graduate from high school","Being self-reliant",57.4026550110018
"Did not graduate from high school","Reporting for jury duty",67.7084345425793
"Did not graduate from high school","Staying informed of current events",46.8343678808493
"Did not graduate from high school","Doing community service",46.3658294314605
"Did not graduate from high school","Respecting people's differences",67.430194716203
"Did not graduate from high school","Protecting the environment",74.0599441487175
"Did not graduate from high school","Caring for future generations",71.5926303816941
"High school graduate","Voting",80.504255899198
"High school graduate","Following the Constitution",89.2813922918765
"High school graduate","Being patriotic",58.0773718838069
"High school graduate","Working hard",61.6870619278912
"High school graduate","Making your voice heard",58.752133107704
"High school graduate","Fighting for people’s rights",75.5426564483885
"High school graduate","Supporting your family",69.3908633341407
"High school graduate","Supporting democracy",68.1737120791877
"High school graduate","Protesting unfairness",54.8914371730085
"High school graduate","Donating to charity",37.7980213188052
"High school graduate","Defending freedom",85.717006295384
"High school graduate","Obeying the law",92.2207028180382
"High school graduate","Practicing freedom of speech",77.418105323357
"High school graduate","Helping your community",71.2296531474993
"High school graduate","Joining the military",37.7699479506794
"High school graduate","Supporting equality",75.571056746262
"High school graduate","Loving America",59.0242364424275
"High school graduate","Making the most of your opportunities",53.954011029816
"High school graduate","Connecting across differences",55.757561198817
"High school graduate","Being grateful for your opportunities as an American",64.6032703680159
"High school graduate","Honoring the flag",78.9942944025852
"High school graduate","Welcoming refugees",45.4624494149831
"High school graduate","Paying your taxes",85.3439263818665
"High school graduate","Being self-reliant",55.9413213436327
"High school graduate","Reporting for jury duty",81.5801898428461
"High school graduate","Staying informed of current events",51.6883402915066
"High school graduate","Doing community service",55.7163499772768
"High school graduate","Respecting people's differences",73.1212076014603
"High school graduate","Protecting the environment",75.9398586849992
"High school graduate","Caring for future generations",72.7397687535373
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Voting",94.9156989560051
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Following the Constitution",94.167444415348
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Being patriotic",60.8044256311714
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Working hard",51.1588790695913
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Making your voice heard",57.5319118706976
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Fighting for people’s rights",71.8816571941842
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Supporting your family",62.3338025784129
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Supporting democracy",90.7135329378863
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Protesting unfairness",56.5409705512932
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Donating to charity",42.6605483211455
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Defending freedom",88.158848259409
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Obeying the law",95.3743739802589
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Practicing freedom of speech",82.5754298734131
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Helping your community",76.3972480178087
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Joining the military",42.4312033673174
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Supporting equality",75.6278087881177
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Loving America",53.9495349756511
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Making the most of your opportunities",42.9625349325786
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Connecting across differences",52.0853821594709
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Being grateful for your opportunities as an American",56.9108759419391
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Honoring the flag",77.5579695626614
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Welcoming refugees",51.8567055114787
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Paying your taxes",93.2518659965734
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Being self-reliant",52.6368282975618
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Reporting for jury duty",93.1448834777944
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Staying informed of current events",60.1082261791949
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Doing community service",63.13315766471
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Respecting people's differences",72.4415270598599
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Protecting the environment",71.3004970935367
"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Caring for future generations",72.3889997790329
"Some college, but no degree","Voting",87.3827072613882
"Some college, but no degree","Following the Constitution",92.3555786237878
"Some college, but no degree","Being patriotic",61.6180715951778
"Some college, but no degree","Working hard",52.2060733781939
"Some college, but no degree","Making your voice heard",52.2008527908909
"Some college, but no degree","Fighting for people’s rights",73.9112575407594
"Some college, but no degree","Supporting your family",60.1091741641008
"Some college, but no degree","Supporting democracy",76.7726700055001
"Some college, but no degree","Protesting unfairness",54.1489113396569
"Some college, but no degree","Donating to charity",33.7751948970172
"Some college, but no degree","Defending freedom",86.8923818970198
"Some college, but no degree","Obeying the law",95.1345242252534
"Some college, but no degree","Practicing freedom of speech",76.1074337338943
"Some college, but no degree","Helping your community",73.4726045540672
"Some college, but no degree","Joining the military",40.9502684695148
"Some college, but no degree","Supporting equality",70.898647294274
"Some college, but no degree","Loving America",57.9528371879128
"Some college, but no degree","Making the most of your opportunities",44.951869364406
"Some college, but no degree","Connecting across differences",51.1627469971238
"Some college, but no degree","Being grateful for your opportunities as an American",61.5616426805984
"Some college, but no degree","Honoring the flag",79.6114120214464
"Some college, but no degree","Welcoming refugees",43.707117049563
"Some college, but no degree","Paying your taxes",89.9836877403115
"Some college, but no degree","Being self-reliant",48.4619383185533
"Some college, but no degree","Reporting for jury duty",88.2390253750501
"Some college, but no degree","Staying informed of current events",50.3131286296228
"Some college, but no degree","Doing community service",54.9098285324357
"Some college, but no degree","Respecting people's differences",70.8265801351996
"Some college, but no degree","Protecting the environment",73.4652459688253
"Some college, but no degree","Caring for future generations",70.1423041434325
