"region_census","duty_label","mean"
"Midwest","Voting",84.7817690000178
"Midwest","Following the Constitution",92.5816546465964
"Midwest","Being patriotic",58.3155066794492
"Midwest","Working hard",52.3881128464722
"Midwest","Making your voice heard",52.565048721651
"Midwest","Fighting for people’s rights",70.1295238867828
"Midwest","Supporting your family",61.7067210972128
"Midwest","Supporting democracy",75.1870067370918
"Midwest","Protesting unfairness",51.5016764331021
"Midwest","Donating to charity",32.912725656721
"Midwest","Defending freedom",85.4707082587448
"Midwest","Obeying the law",93.6770489479823
"Midwest","Practicing freedom of speech",76.1383064699133
"Midwest","Helping your community",69.2944969248631
"Midwest","Joining the military",35.7058778574436
"Midwest","Supporting equality",66.3930468714374
"Midwest","Loving America",53.1807899761244
"Midwest","Making the most of your opportunities",43.2408776642823
"Midwest","Connecting across differences",49.0757865437761
"Midwest","Being grateful for your opportunities as an American",61.1919545395183
"Midwest","Honoring the flag",75.8204127039474
"Midwest","Welcoming refugees",40.8039850750478
"Midwest","Paying your taxes",90.8035907105258
"Midwest","Being self-reliant",51.0732519640938
"Midwest","Reporting for jury duty",85.4375467363548
"Midwest","Staying informed of current events",49.631926390906
"Midwest","Doing community service",51.8491711849807
"Midwest","Respecting people's differences",67.0386683557737
"Midwest","Protecting the environment",70.0471800420374
"Midwest","Caring for future generations",69.163743413283
"Northeast","Voting",91.5844791453479
"Northeast","Following the Constitution",92.5335985767847
"Northeast","Being patriotic",62.948545436272
"Northeast","Working hard",52.0532488864845
"Northeast","Making your voice heard",52.6078293134626
"Northeast","Fighting for people’s rights",73.5236576891532
"Northeast","Supporting your family",64.5012702577906
"Northeast","Supporting democracy",82.5404734147238
"Northeast","Protesting unfairness",56.055392581892
"Northeast","Donating to charity",36.5883764329673
"Northeast","Defending freedom",87.2265264219969
"Northeast","Obeying the law",94.2831025720631
"Northeast","Practicing freedom of speech",80.3319954421483
"Northeast","Helping your community",72.0911975586504
"Northeast","Joining the military",42.2156689814453
"Northeast","Supporting equality",74.8864485382158
"Northeast","Loving America",59.2863478384795
"Northeast","Making the most of your opportunities",44.7247133225362
"Northeast","Connecting across differences",50.141189687451
"Northeast","Being grateful for your opportunities as an American",61.1531457211659
"Northeast","Honoring the flag",78.0176986605093
"Northeast","Welcoming refugees",46.6155875364181
"Northeast","Paying your taxes",92.6326596431465
"Northeast","Being self-reliant",51.7170514595095
"Northeast","Reporting for jury duty",88.7537845566531
"Northeast","Staying informed of current events",52.0744777499937
"Northeast","Doing community service",57.9711590419902
"Northeast","Respecting people's differences",71.9143422761828
"Northeast","Protecting the environment",73.4484337708895
"Northeast","Caring for future generations",71.5939579069717
"South","Voting",87.5689195038506
"South","Following the Constitution",90.2422300897304
"South","Being patriotic",59.2043424503057
"South","Working hard",55.3752061781451
"South","Making your voice heard",56.1992531516414
"South","Fighting for people’s rights",75.5597040567985
"South","Supporting your family",63.8933622379404
"South","Supporting democracy",77.6293448725024
"South","Protesting unfairness",53.3845263834451
"South","Donating to charity",36.017740327968
"South","Defending freedom",86.7395241219808
"South","Obeying the law",93.0656686718912
"South","Practicing freedom of speech",76.5168064775608
"South","Helping your community",74.849658376618
"South","Joining the military",41.2506367861634
"South","Supporting equality",73.4984666165272
"South","Loving America",57.9674711596925
"South","Making the most of your opportunities",45.3789147258831
"South","Connecting across differences",51.4284281884874
"South","Being grateful for your opportunities as an American",59.4132773631039
"South","Honoring the flag",77.1308094807641
"South","Welcoming refugees",42.6852692069678
"South","Paying your taxes",88.4254905821789
"South","Being self-reliant",50.7073919498091
"South","Reporting for jury duty",87.1207711225542
"South","Staying informed of current events",52.5071396420514
"South","Doing community service",56.6361595828662
"South","Respecting people's differences",69.4019491348486
"South","Protecting the environment",71.3396980084691
"South","Caring for future generations",69.3202458570803
"West","Voting",84.3295564579649
"West","Following the Constitution",90.3112081605165
"West","Being patriotic",60.114674150956
"West","Working hard",57.5558091036389
"West","Making your voice heard",59.6322797650479
"West","Fighting for people’s rights",77.0852596974606
"West","Supporting your family",68.1585248542049
"West","Supporting democracy",73.0203855150907
"West","Protesting unfairness",60.2221690124228
"West","Donating to charity",37.6478223575639
"West","Defending freedom",88.8804584478734
"West","Obeying the law",91.0663311514955
"West","Practicing freedom of speech",79.3064343319782
"West","Helping your community",73.5406615590438
"West","Joining the military",40.1160245250717
"West","Supporting equality",76.0324302928916
"West","Loving America",59.813984303886
"West","Making the most of your opportunities",52.885261856231
"West","Connecting across differences",58.5344185268476
"West","Being grateful for your opportunities as an American",64.9051288958456
"West","Honoring the flag",78.8140077269008
"West","Welcoming refugees",53.0797972287664
"West","Paying your taxes",85.9423168082699
"West","Being self-reliant",54.6538600378666
"West","Reporting for jury duty",81.9837158497599
"West","Staying informed of current events",54.7539273808191
"West","Doing community service",58.2334761495889
"West","Respecting people's differences",75.8726751689249
"West","Protecting the environment",77.9180580127293
"West","Caring for future generations",73.541445398703
